Basename,DateTime,Subject,Dialect
RWL_Block1_001L28FS1,2013-07-10 09:15:16,001L28FS1,SAE
RWL_Block2_001L28FS1,2013-07-03 09:50:34,001L28FS1,SAE
RWL_Block1_002L38FS2,2012-10-17 09:22:07,002L38FS2,SAE
RWL_Block2_002L38FS2,2012-11-16 09:06:59,002L38FS2,SAE
RWL_Block1_003L31FS1,2012-11-02 09:24:25,003L31FS1,SAE
RWL_Block2_003L31FS1,2012-11-27 12:13:37,003L31FS1,SAE
RWL_Block1_004L32FS1,2012-10-22 16:47:01,004L32FS1,SAE
RWL_Block2_004L32FS1,2012-10-29 16:17:55,004L32FS1,SAE
RWL_Block1_005L31MS1,2012-10-24 09:24:04,005L31MS1,SAE
RWL_Block2_005L31MS1,2012-12-07 16:01:02,005L31MS1,SAE
RWL_Block1_006L28FS1,2013-01-25 08:37:50,006L28FS1,SAE
RWL_Block2_006L28FS1,2013-02-01 07:47:49,006L28FS1,SAE
RWL_Block1_007L32FS1,2012-11-12 15:38:00,007L32FS1,SAE
RWL_Block2_007L32FS1,2012-10-22 09:34:47,007L32FS1,SAE
RWL_Block1_008L30MS1,2012-11-01 15:27:46,008L30MS1,SAE
RWL_Block2_008L30MS1,2012-10-22 11:07:34,008L30MS1,SAE
RWL_Block1_009L31FS1,2012-11-09 09:23:21,009L31FS1,SAE
RWL_Block2_009L31FS1,2012-12-07 09:21:32,009L31FS1,SAE
RWL_Block1_010L32MS1,2012-12-12 09:06:55,010L32MS1,SAE
RWL_Block2_010L32MS1,2012-12-14 09:18:04,010L32MS1,SAE
RWL_Block1_011L36MS2,2013-01-11 09:41:45,011L36MS2,SAE
RWL_Block2_011L36MS2,2013-01-17 09:45:04,011L36MS2,SAE
RWL_Block1_012L30MS1,2012-12-18 09:06:35,012L30MS1,SAE
RWL_Block1_013L32MA1,2013-04-25 10:47:53,013L32MA1,AAE
RWL_Block2_013L32MA1,2013-05-02 11:22:54,013L32MA1,AAE
RWL_Block1_014L39MS2,2013-02-08 11:32:05,014L39MS2,SAE
RWL_Block2_014L39MS2,2013-02-01 11:25:50,014L39MS2,SAE
RWL_Block1_015L30MS1,2013-01-29 15:40:22,015L30MS1,SAE
RWL_Block2_015L30MS1,2012-12-13 15:40:03,015L30MS1,SAE
RWL_Block1_016L29FS1,2013-02-04 15:05:27,016L29FS1,SAE
RWL_Block2_016L29FS1,2013-01-07 15:35:09,016L29FS1,SAE
RWL_Block1_017L28MA1,2013-03-13 08:55:22,017L28MA1,AAE
RWL_Block2_017L28MA1,2013-01-21 09:14:51,017L28MA1,AAE
RWL_Block1_018L35MS2,2013-02-02 10:18:14,018L35MS2,SAE
RWL_Block2_018L35MS2,2013-03-09 11:50:34,018L35MS2,SAE
RWL_Block1_019L37FS2,2013-02-16 10:23:54,019L37FS2,SAE
RWL_Block2_019L37FS2,2013-03-02 10:44:34,019L37FS2,SAE
RWL_Block1_020L37FS2,2013-03-02 10:22:30,020L37FS2,SAE
RWL_Block2_020L37FS2,2013-02-16 10:37:33,020L37FS2,SAE
RWL_Block1_021L29FS1,2013-03-02 15:01:06,021L29FS1,SAE
RWL_Block2_021L29FS1,2013-03-09 15:13:06,021L29FS1,SAE
RWL_Block1_022L34FS2,2013-05-22 10:14:43,022L34FS2,SAE
RWL_Block2_022L34FS2,2013-05-20 09:01:22,022L34FS2,SAE
RWL_Block1_023L29MA1,2013-05-08 09:16:55,023L29MA1,AAE
RWL_Block2_023L29MA1,2013-04-17 08:45:14,023L29MA1,AAE
RWL_Block1_024L31MA1,2013-03-20 13:08:46,024L31MA1,AAE
RWL_Block2_024L31MA1,2013-03-13 11:26:22,024L31MA1,AAE
RWL_Block1_025L37FA2,2013-04-17 13:52:48,025L37FA2,AAE
RWL_Block2_025L37FA2,2013-03-16 13:38:05,025L37FA2,AAE
RWL_Block1_026L28MS1,2013-03-18 14:23:14,026L28MS1,SAE
RWL_Block2_026L28MS1,2013-04-02 16:30:26,026L28MS1,SAE
RWL_Block1_027L38MS2,2013-03-12 15:11:09,027L38MS2,SAE
RWL_Block2_027L38MS2,2013-03-20 09:48:50,027L38MS2,SAE
RWL_Block1_028L34MA2,2013-04-20 14:55:08,028L34MA2,AAE
RWL_Block2_029L34MS2,2013-08-21 15:52:06,029L34MS2,SAE
RWL_Block1_030L38FS2,2013-03-19 10:22:17,030L38FS2,SAE
RWL_Block2_030L38FS2,2013-04-02 09:59:35,030L38FS2,SAE
RWL_Block1_031L34FS2,2013-04-16 15:39:06,031L34FS2,SAE
RWL_Block2_031L34FS2,2013-04-12 09:36:12,031L34FS2,SAE
RWL_Block1_032L38MS2,2013-04-19 07:40:59,032L38MS2,SAE
RWL_Block2_032L38MS2,2013-04-02 08:45:23,032L38MS2,SAE
RWL_Block1_033L35FS2,2013-07-08 12:23:24,033L35FS2,SAE
RWL_Block2_033L35FS2,2013-06-13 08:50:04,033L35FS2,SAE
RWL_Block1_034L38FS2,2013-05-15 08:57:58,034L38FS2,SAE
RWL_Block2_034L38FS2,2013-05-01 08:42:28,034L38FS2,SAE
RWL_Block1_035L32FA1,2013-05-16 12:32:13,035L32FA1,AAE
RWL_Block2_035L32FA1,2013-06-10 14:58:02,035L32FA1,AAE
RWL_Block1_036L29FA1,2013-05-29 14:08:45,036L29FA1,AAE
RWL_Block2_036L29FA1,2013-05-22 14:44:04,036L29FA1,AAE
RWL_Block1_037L38MS2,2013-06-03 09:19:40,037L38MS2,SAE
RWL_Block1_038L29MS1,2013-08-12 09:19:47,038L29MS1,SAE
RWL_Block2_038L29MS1,2013-08-15 11:28:37,038L29MS1,SAE
RWL_Block1_039L37MS2,2013-06-21 09:25:45,039L37MS2,SAE
RWL_Block2_039L37MS2,2013-06-28 09:15:08,039L37MS2,SAE
RWL_Block1_040L37FS2,2013-06-25 11:48:38,040L37FS2,SAE
RWL_Block2_040L37FS2,2013-06-22 09:21:38,040L37FS2,SAE
RWL_Block1_041L30MS1,2013-05-18 15:17:15,041L30MS1,SAE
RWL_Block2_041L30MS1,2013-06-15 09:09:14,041L30MS1,SAE
