Basename,TrialNo,Image2sec.OnsetTime,Image2sec.StartTime,Fixation.OnsetTime,Fixation.StartTime,CarrierStim.OnsetTime,CarrierStim.StartTime,Target.OnsetTime,Target.StartTime,Fixation.OnsetDelay,CarrierStim.OnsetDelay,Target.OnsetDelay,CarrierDur,AudioDur,AttentionDur
RWL_Block1_002L38FS2,1,52138,52122,53658,52181,54142,54129,55478,55470,3,484,3,1333,816,1264
RWL_Block1_002L38FS2,2,59703,59688,61222,59746,61707,61696,63059,63042,2,485,19,1333,816,1264
RWL_Block1_002L38FS2,3,67268,67261,68787,67310,69271,69264,70607,70584,3,484,3,1333,816,1264
RWL_Block1_002L38FS2,4,74782,74762,76302,74823,76819,76808,78155,78144,3,517,3,1333,816,1264
RWL_Block1_002L38FS2,5,82313,82306,83833,82356,84384,84360,85737,85716,3,551,20,1333,816,1264
RWL_Block1_002L38FS2,6,89911,89887,91431,89953,94303,94292,95673,95652,3,2872,37,1333,816,1264
RWL_Block1_002L38FS2,7,106193,106177,107713,106234,108230,108209,109567,109559,3,517,4,1333,816,1264
RWL_Block1_002L38FS2,8,113758,113744,115277,113801,115745,115731,117097,117083,3,468,19,1333,816,1264
RWL_Block1_002L38FS2,9,121272,121252,122792,121316,123243,123235,124579,124570,3,451,3,1333,816,1264
RWL_Block1_002L38FS2,10,128753,128734,130273,128796,130724,130711,132060,132047,3,451,3,1333,816,1264
RWL_Block1_002L38FS2,11,136251,136243,137771,136293,138255,138243,139591,139575,3,484,3,1333,816,1264
RWL_Block1_002L38FS2,12,143749,143740,145269,143790,145786,145774,147139,147124,3,517,20,1333,816,1264
RWL_Block1_002L38FS2,13,159279,159266,160799,159321,161250,161235,162602,162590,3,451,19,1333,816,1264
RWL_Block1_002L38FS2,14,166760,166738,168280,166804,168714,168705,170067,170049,3,434,20,1333,816,1264
RWL_Block1_002L38FS2,15,174191,174183,175711,174232,176178,176161,177514,177502,3,467,3,1333,816,1264
RWL_Block1_002L38FS2,16,181689,181664,183209,181730,183660,183648,185012,184991,3,451,19,1333,816,1264
RWL_Block1_002L38FS2,17,189137,189128,190656,189178,191208,191187,192560,192540,2,552,19,1333,816,1264
RWL_Block1_002L38FS2,18,196735,196714,198255,196777,198705,198686,200041,200012,3,450,3,1333,816,1264
RWL_Block1_002L38FS2,19,212081,212066,213601,212123,214069,214057,215404,215395,3,468,2,1333,816,1264
RWL_Block1_002L38FS2,20,219596,219573,221116,219638,221667,221652,223020,223012,3,551,20,1333,816,1264
RWL_Block1_002L38FS2,21,227177,227155,228697,227218,229181,229173,230534,230511,3,484,20,1333,816,1264
RWL_Block1_002L38FS2,22,234692,234683,236211,234732,236696,236677,238032,237999,2,485,3,1333,816,1264
RWL_Block1_002L38FS2,23,242190,242168,243709,242231,244177,244164,245529,245519,3,468,19,1333,816,1264
RWL_Block1_002L38FS2,24,249671,249661,251190,249713,251675,251654,253027,253004,2,485,19,1333,816,1264
RWL_Block2_002L38FS2,1,30138,30114,31658,30179,32476,32463,33812,33802,3,818,3,1333,816,1264
RWL_Block2_002L38FS2,2,38204,38180,39723,38247,40308,40284,41677,41661,3,585,36,1333,816,1264
RWL_Block2_002L38FS2,3,45869,45844,47388,45917,47889,47868,49242,49221,3,501,20,1333,816,1264
RWL_Block2_002L38FS2,4,53517,53494,55036,53568,55537,55523,56907,56895,3,501,37,1333,816,1264
RWL_Block2_002L38FS2,5,61115,61097,62634,61157,63185,63163,64555,64534,3,551,37,1333,816,1264
RWL_Block2_002L38FS2,6,68780,68758,70299,68822,71284,71259,72637,72617,3,985,20,1333,816,1264
RWL_Block2_002L38FS2,7,82640,82620,84159,82685,84627,84608,85996,85970,3,468,36,1333,816,1264
RWL_Block2_002L38FS2,8,90188,90174,91707,90238,92209,92200,93578,93554,3,502,36,1333,816,1264
RWL_Block2_002L38FS2,9,97752,97733,99272,97797,99790,99765,101176,101160,3,518,53,1333,816,1264
RWL_Block2_002L38FS2,10,106219,106193,107738,106263,108189,108179,109542,109526,3,451,20,1333,816,1264
RWL_Block2_002L38FS2,11,113767,113745,115286,113817,115821,115796,117190,117172,3,535,36,1333,816,1264
RWL_Block2_002L38FS2,12,121381,121359,122901,121425,123369,123352,124738,124712,3,468,36,1333,816,1264
RWL_Block2_002L38FS2,13,133789,133774,135308,133834,137396,137376,138765,138761,3,2088,36,1333,816,1264
RWL_Block2_002L38FS2,14,143841,143825,145361,143885,145912,145892,147298,147291,3,551,53,1333,816,1264
RWL_Block2_002L38FS2,15,152308,152294,153827,152352,154412,154392,155799,155791,2,585,54,1333,816,1264
RWL_Block2_002L38FS2,16,160858,160833,162377,160900,162845,162826,164197,164167,3,468,19,1333,816,1264
RWL_Block2_002L38FS2,17,168406,168381,169925,168450,170476,170459,171812,171801,3,551,3,1333,816,1264
RWL_Block2_002L38FS2,18,176020,176008,177540,176064,178024,178011,179410,179385,3,484,53,1333,816,1264
RWL_Block2_002L38FS2,19,187643,187617,189162,187689,189714,189697,191100,191077,2,552,53,1333,816,1264
RWL_Block2_002L38FS2,20,195291,195265,196811,195333,197345,197321,198731,198719,3,534,53,1333,816,1264
RWL_Block2_002L38FS2,21,203741,203713,205260,203787,205795,205782,207147,207128,3,535,19,1333,816,1264
RWL_Block2_002L38FS2,22,211339,211322,212858,211386,213343,213332,214729,214703,3,485,53,1333,816,1264
RWL_Block2_002L38FS2,23,218903,218884,220423,218949,220957,220932,222293,222284,3,534,3,1333,816,1264
RWL_Block2_002L38FS2,24,226501,226480,228021,226547,228505,228480,229891,229876,3,484,53,1333,816,1264
RWL_Block1_003L31FS1,1,99258,99249,100778,99299,101312,101299,102648,102627,3,534,3,1333,816,1264
RWL_Block1_003L31FS1,2,106823,106808,108342,106866,108810,108793,110196,110196,3,468,53,1333,816,1264
RWL_Block1_003L31FS1,3,115155,115140,116675,115198,117126,117108,118462,118447,3,451,3,1333,816,1264
RWL_Block1_003L31FS1,4,122620,122608,124139,122661,124640,124628,125976,125953,2,501,3,1333,816,1264
RWL_Block1_003L31FS1,5,130134,130125,131654,130177,132088,132068,133441,133421,3,434,20,1333,816,1264
RWL_Block1_003L31FS1,6,137599,137581,139118,137641,139636,139619,140972,140961,2,518,3,1333,816,1264
RWL_Block1_003L31FS1,7,148887,148875,150407,148928,151492,151474,152828,152816,3,1085,3,1333,816,1264
RWL_Block1_003L31FS1,8,157036,157018,158556,157082,159090,159078,160426,160410,3,534,3,1333,816,1264
RWL_Block1_003L31FS1,9,164618,164603,166137,164662,168976,168966,170312,170289,3,2839,3,1333,816,1264
RWL_Block1_003L31FS1,10,174554,174540,176073,174597,176507,176496,177843,177818,3,434,3,1333,816,1264
RWL_Block1_003L31FS1,11,182018,181997,183538,182061,183989,183969,185324,185290,3,451,2,1333,816,1264
RWL_Block1_003L31FS1,12,189516,189495,191036,189558,191470,191461,192806,192786,3,434,3,1333,816,1264
RWL_Block1_003L31FS1,13,201589,201566,203109,201631,203543,203534,204879,204857,3,434,3,1333,816,1264
RWL_Block1_003L31FS1,14,209054,209033,210573,209098,211024,211006,212377,212366,3,451,20,1333,816,1264
RWL_Block1_003L31FS1,15,216518,216497,218038,216559,221528,221505,222864,222842,3,3490,3,1333,816,1264
RWL_Block1_003L31FS1,16,227122,227112,228642,227163,229326,229304,230662,230646,3,684,3,1333,816,1264
RWL_Block1_003L31FS1,17,234837,234822,236357,234878,236857,236838,238193,238174,3,500,3,1333,816,1264
RWL_Block1_003L31FS1,18,242351,242333,243871,242393,244322,244309,245658,245630,3,451,3,1333,816,1264
RWL_Block1_003L31FS1,19,253423,253413,254942,253465,255393,255370,256746,256729,2,451,20,1333,816,1264
RWL_Block1_003L31FS1,20,260904,260884,262424,260947,265396,265383,266732,266716,3,2972,3,1333,816,1264
RWL_Block1_003L31FS1,21,270957,270945,272476,270998,272911,272902,274246,274231,3,435,2,1333,816,1264
RWL_Block1_003L31FS1,22,278404,278381,279924,278445,280375,280359,281761,281743,3,451,53,1333,816,1264
RWL_Block1_003L31FS1,23,285919,285896,287439,285960,287890,287867,289225,289200,3,451,2,1333,816,1264
RWL_Block1_003L31FS1,24,293400,293383,294920,293443,295471,295450,296807,296784,3,551,3,1333,816,1264
RWL_Block2_003L31FS1,1,44243,44230,45763,44285,46364,46355,47717,47702,3,601,20,1333,816,1264
RWL_Block2_003L31FS1,2,51925,51913,53444,51967,53995,53985,55348,55325,3,551,20,1333,816,1264
RWL_Block2_003L31FS1,3,59539,59520,61059,59585,61593,61580,62979,62958,3,534,53,1333,816,1264
RWL_Block2_003L31FS1,4,67121,67106,68640,67168,69175,69162,70561,70552,2,535,53,1333,816,1264
RWL_Block2_003L31FS1,5,75587,75562,77107,75629,77558,77541,78910,78894,3,451,19,1333,816,1264
RWL_Block2_003L31FS1,6,83118,83100,84638,83159,85072,85059,86408,86397,3,434,3,1333,816,1264
RWL_Block2_003L31FS1,7,95977,95952,97496,96018,97930,97914,99300,99284,3,434,37,1333,816,1264
RWL_Block2_003L31FS1,8,103475,103456,104994,103522,105529,105506,106881,106868,3,535,19,1333,816,1264
