Basename,TrialNo,Image2sec.OnsetTime,Image2sec.StartTime,Fixation.OnsetTime,Fixation.StartTime,CarrierStim.OnsetTime,CarrierStim.StartTime,Target.OnsetTime,Target.StartTime,Wait1SecFirst.OnsetTime,Wait1SecFirst.StartTime,Attention.OnsetTime,Attention.StartTime,Fixation.OnsetDelay,CarrierStim.OnsetDelay,Target.OnsetDelay,Wait1SecFirst.OnsetDelay,Attention.OnsetDelay,CarrierDur,AudioDur,AttentionDur
RWL_Block1_001L28FS1,1,1493242,1493222,1494812,1494785,1495397,1495384,1496732,1496702,1497550,1497548,1498552,1498377,53,585,2,2,2,1333,816,1264
RWL_Block1_001L28FS1,2,1501625,1501617,1503195,1503170,1503629,1503628,1504965,1504948,1505783,1505781,1506785,1506605,53,434,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,3,1509858,1509848,1511428,1511400,1512079,1512077,1513415,1513383,1514233,1514231,1515235,1515061,53,651,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,4,1518308,1518294,1519878,1519848,1520863,1520857,1522199,1522185,1523017,1523015,1524019,1523855,54,985,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,5,1527092,1527078,1528661,1528633,1529079,1529065,1530415,1530377,1531233,1531231,1532235,1532046,53,418,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,6,1535274,1535251,1536844,1536815,1537278,1537272,1538614,1538562,1539433,1539430,1540435,1540247,53,434,3,3,2,1333,816,1264
RWL_Block1_001L28FS1,7,1548200,1548173,1549769,1549740,1550204,1550191,1551540,1551530,1552358,1552356,1553360,1553182,53,435,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,8,1556483,1556463,1558052,1558026,1558487,1558476,1559823,1559785,1560641,1560639,1561643,1561449,53,435,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,9,1564716,1564703,1566285,1566258,1566703,1566691,1568055,1568051,1568874,1568871,1569876,1569689,53,418,19,3,2,1333,816,1264
RWL_Block1_001L28FS1,10,1572948,1572924,1574518,1574490,1575386,1575384,1576722,1576677,1577541,1577538,1578543,1578380,53,868,3,3,2,1333,816,1264
RWL_Block1_001L28FS1,11,1581615,1581601,1583185,1583158,1583603,1583599,1584939,1584877,1585757,1585755,1586759,1586563,53,418,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,12,1589815,1589803,1591384,1591355,1591802,1591791,1593138,1593103,1593956,1593954,1594958,1594772,53,418,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,13,1602406,1602380,1603976,1603948,1604393,1604385,1605729,1605695,1606548,1606545,1607550,1607362,53,417,3,3,2,1333,816,1264
RWL_Block1_001L28FS1,14,1610606,1610594,1612175,1612148,1612576,1612569,1613912,1613884,1614730,1614728,1615732,1615556,53,401,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,15,1618788,1618775,1620358,1620330,1620792,1620783,1622128,1622083,1622946,1622944,1623948,1623779,53,434,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,16,1627021,1626996,1628591,1628564,1631246,1631245,1632582,1632559,1633400,1633398,1634402,1634211,53,2655,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,17,1637525,1637511,1639095,1639067,1639512,1639510,1640848,1640823,1641666,1641664,1642668,1642473,53,417,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,18,1645741,1645714,1647311,1647284,1647745,1647736,1649081,1649073,1649899,1649897,1650901,1650710,53,434,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,19,1658483,1658469,1660053,1660026,1660654,1660646,1661990,1661959,1662808,1662806,1663810,1663631,54,601,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,20,1666883,1666870,1668452,1668424,1668920,1668904,1670256,1670249,1671074,1671072,1672076,1671916,53,468,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,21,1675132,1675121,1676702,1676673,1677119,1677110,1678455,1678407,1679274,1679271,1680276,1680090,53,417,3,3,2,1333,816,1264
RWL_Block1_001L28FS1,22,1683332,1683320,1684901,1684872,1685319,1685304,1686655,1686645,1687473,1687471,1688475,1688306,53,418,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,23,1691548,1691519,1693117,1693087,1693535,1693532,1694871,1694850,1695689,1695687,1696691,1696515,53,418,3,2,2,1333,816,1264
RWL_Block1_001L28FS1,24,1699764,1699744,1701334,1701304,1701784,1701774,1703120,1703104,1703939,1703936,1704941,1704766,54,450,3,3,2,1333,816,1264
RWL_Block2_001L28FS1,1,1459531,1459521,1461101,1461076,1461602,1461586,1462954,1462946,1463773,1463770,1464775,1464629,53,501,19,3,2,1333,816,1264
RWL_Block2_001L28FS1,2,1467814,1467797,1469384,1469355,1469834,1469825,1471204,1471199,1472022,1472020,1473024,1472846,53,450,37,2,2,1333,816,1264
RWL_Block2_001L28FS1,3,1476063,1476047,1477633,1477608,1478084,1478072,1479420,1479415,1480238,1480236,1481240,1481085,53,451,3,2,2,1333,816,1264
RWL_Block2_001L28FS1,4,1484279,1484264,1485849,1485827,1488204,1488200,1489540,1489527,1490358,1490356,1491360,1491196,53,2355,3,2,2,1333,816,1264
RWL_Block2_001L28FS1,5,1494433,1494424,1495986,1495971,1496821,1496811,1498173,1498169,1498992,1498989,1499994,1499856,37,835,19,3,2,1333,816,1264
RWL_Block2_001L28FS1,6,1503033,1503018,1504586,1504572,1505070,1505064,1506423,1506410,1507241,1507239,1508243,1508076,36,484,20,2,2,1333,816,1264
