Basename,TrialNo,Attention,AttentionEnd,AttentionOnset,Audio,Bias_FrameCount,Bias_ImageAOI,Bias_WindowEnd,Bias_WindowStart,CarrierEnd,CarrierOnset,FixationDur,FixationOnset,ImageOnset,InterpolationWindow,LowerLeftImage,LowerLeftImageStimulus,LowerRightImage,LowerRightImageStimulus,PhonologicalFoil,PhonologicalFoilImage,SemanticFoil,SemanticFoilImage,Target,TargetEnd,TargetImage,TargetOnset,Unrelated,UnrelatedImage,UpperLeftImage,UpperLeftImageStimulus,UpperRightImage,UpperRightImageStimulus
RWL_Block1_001L28FS1,1,SAE_Fun_2_2,3084,1820,SAE_flag_911_16,6,PhonologicalFoil,245,0,-2,-1335,585,-1920,-3490,150,kite1,SemanticFoil,fly1,PhonologicalFoil,fly,LowerRightImage,kite,LowerLeftImage,flag,816,UpperRightImage,0,pear,UpperLeftImage,pear1,Unrelated,flag1,Target
RWL_Block1_001L28FS1,2,SAE_Check_1_2,3084,1820,SAE_drum_613_10,15,SemanticFoil,245,0,-3,-1336,434,-1770,-3340,150,dress1,PhonologicalFoil,bell1,SemanticFoil,dress,LowerLeftImage,bell,LowerRightImage,drum,816,UpperLeftImage,0,sword,UpperRightImage,drum1,Target,sword1,Unrelated
RWL_Block1_001L28FS1,3,SAE_Look_3_1,3084,1820,SAE_ring_712_4,13,Unrelated,245,0,-3,-1336,651,-1987,-3557,150,dress1,SemanticFoil,swing1,PhonologicalFoil,swing,LowerRightImage,dress,LowerLeftImage,ring,816,UpperRightImage,0,flag,UpperLeftImage,flag1,Unrelated,ring1,Target
RWL_Block1_001L28FS1,4,SAE_Check_1_1,3084,1820,SAE_swan_411_8,15,SemanticFoil,245,0,-3,-1336,985,-2321,-3891,150,swan1,Target,bell1,Unrelated,spoon,UpperLeftImage,bee,UpperRightImage,swan,816,LowerLeftImage,0,bell,LowerRightImage,spoon1,PhonologicalFoil,bee1,SemanticFoil
RWL_Block1_001L28FS1,5,SAE_Check_2_1,3084,1820,SAE_kite_212_8,8,Target,245,0,-3,-1336,418,-1754,-3323,150,shirt1,Unrelated,kite1,Target,gift,UpperLeftImage,flag,UpperRightImage,kite,816,LowerRightImage,0,shirt,LowerLeftImage,gift1,PhonologicalFoil,flag1,SemanticFoil
RWL_Block1_001L28FS1,6,SAE_Look_1_1,3085,1821,SAE_bell_911_12,15,PhonologicalFoil,245,0,-3,-1336,434,-1770,-3340,150,bee1,PhonologicalFoil,drum1,SemanticFoil,bee,LowerLeftImage,drum,LowerRightImage,bell,816,UpperRightImage,0,swing,UpperLeftImage,swing1,Unrelated,bell1,Target
RWL_Block1_001L28FS1,7,SAE_Fun_1_2,3084,1820,SAE_heart_213_6,15,PhonologicalFoil,245,0,-3,-1336,435,-1771,-3340,150,horse1,PhonologicalFoil,bread1,Unrelated,horse,LowerLeftImage,ring,UpperRightImage,heart,816,UpperLeftImage,0,bread,LowerRightImage,heart1,Target,ring1,SemanticFoil
RWL_Block1_001L28FS1,8,SAE_Fun_2_1,3084,1820,SAE_bread_911_20,14,Target,245,0,-3,-1336,435,-1771,-3340,150,vase1,Unrelated,cheese1,SemanticFoil,bear,UpperRightImage,cheese,LowerRightImage,bread,816,UpperLeftImage,0,vase,LowerLeftImage,bread1,Target,bear1,PhonologicalFoil
RWL_Block1_001L28FS1,9,SAE_Fun_1_3,3085,1821,SAE_vase_411_10,15,Unrelated,245,0,-19,-1352,418,-1770,-3339,150,vase1,Target,gift1,SemanticFoil,van,UpperRightImage,gift,LowerRightImage,vase,816,LowerLeftImage,0,swan,UpperLeftImage,swan1,Unrelated,van1,PhonologicalFoil
RWL_Block1_001L28FS1,10,SAE_Look_2_1,3085,1821,SAE_gift_411_12,15,SemanticFoil,245,0,-3,-1336,868,-2204,-3774,150,bread1,Unrelated,kite1,PhonologicalFoil,kite,LowerRightImage,vase,UpperRightImage,gift,816,UpperLeftImage,0,bread,LowerLeftImage,gift1,Target,vase1,SemanticFoil
