Subj,HasProtocol1Data,HasProtocol2Data,HasEyetracking
001L,FALSE,TRUE,TRUE
002L,TRUE,FALSE,TRUE
003L,TRUE,FALSE,TRUE
004L,TRUE,FALSE,TRUE
005L,TRUE,FALSE,TRUE
006L,FALSE,TRUE,TRUE
007L,TRUE,FALSE,TRUE
008L,TRUE,FALSE,TRUE
009L,TRUE,FALSE,TRUE
010L,TRUE,FALSE,TRUE
011L,FALSE,TRUE,TRUE
012L,TRUE,FALSE,TRUE
013L,FALSE,TRUE,TRUE
014L,FALSE,TRUE,TRUE
015L,TRUE,TRUE,TRUE
016L,TRUE,TRUE,TRUE
017L,FALSE,TRUE,TRUE
018L,FALSE,TRUE,TRUE
019L,FALSE,TRUE,TRUE
020L,FALSE,TRUE,TRUE
021L,FALSE,TRUE,TRUE
022L,FALSE,TRUE,TRUE
023L,FALSE,TRUE,TRUE
024L,FALSE,TRUE,TRUE
025L,FALSE,TRUE,TRUE
026L,FALSE,TRUE,TRUE
027L,FALSE,TRUE,TRUE
028L,FALSE,TRUE,TRUE
029L,FALSE,TRUE,TRUE
030L,FALSE,TRUE,TRUE
031L,FALSE,TRUE,TRUE
032L,FALSE,TRUE,TRUE
033L,FALSE,TRUE,TRUE
034L,FALSE,TRUE,TRUE
035L,FALSE,TRUE,TRUE
036L,FALSE,TRUE,TRUE
037L,FALSE,TRUE,TRUE
038L,FALSE,TRUE,TRUE
039L,FALSE,TRUE,TRUE
040L,FALSE,TRUE,TRUE
041L,FALSE,TRUE,TRUE
042L,FALSE,TRUE,TRUE
043L,FALSE,TRUE,TRUE
044L,FALSE,TRUE,TRUE
045L,FALSE,TRUE,TRUE
046L,FALSE,TRUE,TRUE
047L,FALSE,TRUE,TRUE
049L,FALSE,TRUE,TRUE
050L,FALSE,TRUE,TRUE
051L,FALSE,TRUE,TRUE
052L,FALSE,TRUE,TRUE
053L,FALSE,TRUE,TRUE
055L,FALSE,TRUE,TRUE
056L,FALSE,TRUE,TRUE
057L,FALSE,TRUE,TRUE
058L,FALSE,TRUE,TRUE
061L,FALSE,TRUE,TRUE
062L,FALSE,TRUE,TRUE
063L,FALSE,TRUE,TRUE
064L,FALSE,TRUE,TRUE
065L,FALSE,TRUE,TRUE
066L,FALSE,TRUE,TRUE
067L,FALSE,TRUE,TRUE
068L,FALSE,TRUE,TRUE
069L,FALSE,TRUE,TRUE
071L,FALSE,TRUE,TRUE
072L,FALSE,TRUE,TRUE
073L,FALSE,TRUE,TRUE
074L,FALSE,TRUE,TRUE
075L,FALSE,TRUE,TRUE
076L,FALSE,TRUE,TRUE
077L,FALSE,TRUE,TRUE
078L,FALSE,TRUE,TRUE
079L,FALSE,TRUE,TRUE
080L,FALSE,TRUE,TRUE
